Points,Wins,Points Percentage,Goals Against,Goals For,League Rank
87,38,0.53,234,240,4
81,34,0.49,258,215,14
103,46,0.63,195,246,1
96,44,0.59,209,216,9
96,43,0.59,229,245,30
85,37,0.52,251,218,23
74,32,0.45,250,192,21
111,51,0.68,198,249,8
90,37,0.55,226,202,25
88,41,0.54,220,208,29
81,35,0.49,226,177,15
74,32,0.45,239,212,24
109,51,0.66,187,226,12
108,51,0.66,221,282,2
103,47,0.63,232,264,20
102,48,0.62,209,228,22
79,34,0.48,255,203,16
109,49,0.66,165,210,6
104,48,0.63,210,237,27
102,48,0.62,203,248,13
101,45,0.62,238,248,1
65,29,0.4,262,202,17
102,49,0.62,202,269,5
92,41,0.56,240,249,14
89,39,0.54,230,218,23
80,35,0.49,264,231,9
78,31,0.48,226,212,4
97,42,0.59,204,216,19
96,43,0.59,210,228,11
95,40,0.58,179,194,7
89,42,0.54,222,211,21
80,34,0.49,231,204,3
94,38,0.57,227,203,30
92,42,0.56,230,222,10
84,38,0.51,281,235,28
84,37,0.51,246,225,18
82,33,0.5,243,213,26
117,54,0.71,185,262,8
94,41,0.57,237,250,25
86,39,0.52,233,206,15
68,30,0.41,288,227,29
62,25,0.38,269,193,24
107,48,0.65,197,224,10
103,46,0.63,240,247,28
91,40,0.55,239,236,26
72,30,0.44,229,195,30
106,47,0.65,223,259,20
106,49,0.65,199,238,2
93,44,0.57,198,233,12
81,38,0.49,209,174,22
73,30,0.45,264,229,16
105,48,0.64,213,248,11
99,47,0.6,235,239,3
99,43,0.6,226,231,19
98,46,0.6,198,219,7
95,42,0.58,233,227,21
104,47,0.63,241,261,13
99,44,0.6,194,219,27
97,44,0.59,225,258,1
87,38,0.53,234,240,6
81,34,0.49,258,215,17
103,46,0.63,195,246,5
96,44,0.59,209,216,4
96,43,0.59,229,245,23
85,37,0.52,251,218,9
74,32,0.45,250,192,14
121,54,0.74,233,318,10
80,35,0.49,256,230,26
80,34,0.49,260,217,28
77,32,0.47,244,208,30
113,51,0.69,215,264,11
107,50,0.65,202,225,19
101,46,0.62,219,241,7
89,39,0.54,251,238,3
88,37,0.54,254,237,21
112,52,0.68,209,271,1
102,44,0.62,216,229,13
100,47,0.61,225,225,27
90,40,0.55,223,225,6
79,32,0.48,259,216,17
103,49,0.63,222,272,8
95,43,0.58,233,244,29
90,40,0.55,210,204,25
84,38,0.51,246,219,15
62,27,0.38,284,214,24
103,48,0.63,191,222,22
101,47,0.62,237,257,2
88,41,0.54,225,236,20
87,38,0.53,218,222,12
79,34,0.48,264,222,16
100,45,0.61,207,235,23
94,44,0.57,238,225,14
91,39,0.55,200,206,5
88,39,0.54,223,217,4
74,30,0.45,267,214,9
117,54,0.71,185,262,1
